URL,Size (KB),New Size (KB),Date of Red,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/exploring-using-astro-instead-of-nextjs.html,572.80,202.97,03-03-2026,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/notes-on-creating-stripped-down-nextjs.html,564.47,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/10/notes-on-learning-stage-of-developing.html,426.50,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/notes-on-learning-stage-of-developing.html,417.70,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/10/contempo-light-theme-dark-mode.html,411.39,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/using-two-monitors-for-development.html,402.41,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/11/notes-on-learning-stage-of-developing_22.html,389.70,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/building-test-static-school-website.html,382.62,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/notes-on-web-dev-architecture-spa-react.html,373.90,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/11/contd-blogger-contempo-light-theme.html,370.44,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/notes-on-moodle-web-app-and-mobile-app.html,337.83,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/notes-on-converting-stripped-down.html,337.65,321.26,04-03-2026,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/using-chatgpt-to-write-react-native.html,313.47,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/yargs-npm-package-does-not-work-well.html,305.42,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/bloggers-dont-track-my-views-setting.html,301.40,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/continued-react-native-and-expo.html,300.57,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/11/notes-on-learning-stage-of-developing.html,290.37,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/04/notes-on-learning-stage-of-developing.html,286.17,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/create-gita-json-file-rest-api-hosted.html,280.52,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/misc-notes-on-npm-script-issues-and.html,272.77,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/preact-in-context-of-astro-and-also-in.html,265.34,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/notes-on-creating-simple-static-landing.html,260.75,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/notes-on-creating-small-test-lms-with.html,257.09,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/react-native-and-expo-vs-react-pwaweb.html,250.22,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/static-medium-size-education-site.html,249.57,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/transferring-100-mb-apk-file-from-pc-to.html,248.70,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/notes-on-mpa-vs-spa-web-dev-arch.html,244.09,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/10/notes-on-learning-stage-of-developing_19.html,241.36,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/my-gita-web-app-backend-data-service.html,235.46,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2024/06/notes-on-regular-ui-bhagavad-gita.html,225.42,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/react-native-and-expo-building-android.html,224.89,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/07/notes-on-learning-stage-of-developing.html,224.85,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/freelow-cost-lms-education-app-for.html,223.67,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/vscode-extension-to-auto-add-id.html,222.12,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2024/03/learning-web-app-development-through.html,221.54,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/about-nodejs-native-code-concepts.html,220.53,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2024/09/notes-on-3rd-round-of-nextjs-official.html,218.95,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/setting-up-decap-cms-to-work-with.html,218.76,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/notes-on-google-play-console-reports.html,214.01,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/scientific-terms-in-context-of-software.html,212.63,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/notes-on-react-native-for-windows-and.html,203.42,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/09/notes-on-js-bundlers-esbuild-webpack.html,196.13,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/04/google-gemini-ai-api-has-free-tier.html,195.43,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/expo-docs-terms-continuous-native.html,194.44,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/detailed-chatgpt-exchanges-for-my-post.html,192.85,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/submission-of-timestamp-tracker-app-to.html,191.22,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/01/building-test-static-school-website_22.html,188.55,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/06/react-native-and-expo-apps-local.html,187.44,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2024/10/notes-on-aspnet-core-web-dev-platform.html,186.04,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2024/08/notes-on-enhancements-and-bugfixes-to_21.html,183.87,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2026/02/additional-notes-about-google-ai-pro.html,182.67,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/08/notes-on-webview-chatgpt.html,182.55,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/10/exploratory-chat-with-chatgpt-on.html,182.46,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/11/searching-for-os-rn-lms.html,179.58,,,,,,,,,,,,,,,
https://raviswdev.blogspot.com/2025/12/ways-to-do-phrase-search-in-blogger.html,179.44,,,,,,,,,,,,,,,
