"URL","Size (KB)"
"https://raviswdev.blogspot.com/2026/02/exploring-using-astro-instead-of-nextjs.html","187.53"
"https://raviswdev.blogspot.com/2026/01/notes-on-creating-stripped-down-nextjs.html","353.86"
"https://raviswdev.blogspot.com/2025/10/notes-on-learning-stage-of-developing.html","308.62"
"https://raviswdev.blogspot.com/2025/09/notes-on-learning-stage-of-developing.html","417.7"
"https://raviswdev.blogspot.com/2025/10/contempo-light-theme-dark-mode.html","315.65"
"https://raviswdev.blogspot.com/2025/06/using-two-monitors-for-development.html","402.41"
"https://raviswdev.blogspot.com/2025/11/notes-on-learning-stage-of-developing_22.html","389.7"
"https://raviswdev.blogspot.com/2026/01/building-test-static-school-website.html","382.58"
"https://raviswdev.blogspot.com/2025/08/notes-on-web-dev-architecture-spa-react.html","252.37"
"https://raviswdev.blogspot.com/2025/11/contd-blogger-contempo-light-theme.html","267.56"
"https://raviswdev.blogspot.com/2025/08/notes-on-moodle-web-app-and-mobile-app.html","194.16"
"https://raviswdev.blogspot.com/2026/02/notes-on-converting-stripped-down.html","305.88"
"https://raviswdev.blogspot.com/2025/06/using-chatgpt-to-write-react-native.html","313.47"
"https://raviswdev.blogspot.com/2025/09/yargs-npm-package-does-not-work-well.html","305.42"
"https://raviswdev.blogspot.com/2025/09/bloggers-dont-track-my-views-setting.html","301.4"
"https://raviswdev.blogspot.com/2025/06/continued-react-native-and-expo.html","300.57"
"https://raviswdev.blogspot.com/2025/11/notes-on-learning-stage-of-developing.html","290.37"
"https://raviswdev.blogspot.com/2025/04/notes-on-learning-stage-of-developing.html","286.17"
"https://raviswdev.blogspot.com/2025/12/create-gita-json-file-rest-api-hosted.html","280.52"
"https://raviswdev.blogspot.com/2026/02/misc-notes-on-npm-script-issues-and.html","272.77"
